Event 1 BX 0
HwTrack 1 Rinv: 000000010110110, t: 11110000100000, phi: 0001001010100110011, Z0: 10001010111, Q: 0, Sector: 01011, HwValid: 1, BX: 011
HwTrack 2 Rinv: 100000010111000, t: 00001111011110, phi: 0000011010110111101, Z0: 10001001100, Q: 1, Sector: 11001, HwValid: 1, BX: 011

Event 76 BX 11
HwTrack 1 Rinv: 000000001001010, t: 00000011100100, phi: 0000101110010011001, Z0: 00010000011, Q: 0, Sector: 00101, HwValid: 1, BX: 100
HwTrack 2 Rinv: 100000001000010, t: 11111100011011, phi: 0001011110010100001, Z0: 00010000110, Q: 1, Sector: 10010, HwValid: 1, BX: 100

Event 77 BX 100
HwTrack 1 Rinv: 000001001001010, t: 11111100011100, phi: 0001110011011000100, Z0: 00000110100, Q: 0, Sector: 10100, HwValid: 1, BX: 101
HwTrack 2 Rinv: 100001001011011, t: 00000011100011, phi: 0001000011010110101, Z0: 00000111001, Q: 1, Sector: 00111, HwValid: 1, BX: 101

Event 78 BX 101
HwTrack 1 Rinv: 000000001100100, t: 11111100010000, phi: 0001010111011011110, Z0: 10000111100, Q: 0, Sector: 00110, HwValid: 1, BX: 110
HwTrack 2 Rinv: 100000001100011, t: 00000011101111, phi: 0000100111011100110, Z0: 10001000001, Q: 1, Sector: 10100, HwValid: 1, BX: 110

Event 79 BX 110
HwTrack 1 Rinv: 000000011110001, t: 00000101001100, phi: 0000011010000000010, Z0: 00001000001, Q: 0, Sector: 01001, HwValid: 1, BX: 111
HwTrack 2 Rinv: 100000011110000, t: 11111010110100, phi: 0001001010000101001, Z0: 00001000100, Q: 1, Sector: 10110, HwValid: 1, BX: 111

Event 80 BX 111
HwTrack 1 Rinv: 000000111110001, t: 11101110110110, phi: 0001110000110001000, Z0: 00001000011, Q: 0, Sector: 10110, HwValid: 1, BX: 000
HwTrack 2 Rinv: 100000111111010, t: 00010001000110, phi: 0001000001000010000, Z0: 00001000100, Q: 1, Sector: 01001, HwValid: 1, BX: 000

Event 81 BX 0
HwTrack 1 Rinv: 000000001101010, t: 11110101011110, phi: 0000110111011100111, Z0: 10000001001, Q: 0, Sector: 10011, HwValid: 1, BX: 001
HwTrack 2 Rinv: 100000001110011, t: 00001010100001, phi: 0001100111011110110, Z0: 00000000100, Q: 1, Sector: 00101, HwValid: 1, BX: 001

Event 82 BX 1
HwTrack 1 Rinv: 000000011111100, t: 00001100010011, phi: 0000110010011110100, Z0: 00000010100, Q: 0, Sector: 01100, HwValid: 1, BX: 010
HwTrack 2 Rinv: 100000011101111, t: 11110011101110, phi: 0001100010011100101, Z0: 00000001110, Q: 1, Sector: 11001, HwValid: 1, BX: 010

Event 83 BX 10
HwTrack 1 Rinv: 000000010000101, t: 00001011000101, phi: 0001011100001011000, Z0: 00001001011, Q: 0, Sector: 11000, HwValid: 1, BX: 011
