Event 1 BX 0
SwTrack 1 pT: 78.5167, eta: -0.348379, phi: 0.0373553, sector: 1, Q: 1
SwTrack 2 pT: 78.5167, eta: 0.350219, phi: -3.10438, sector: 14, Q: -1

Event 96 BX 111
SwTrack 1 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0
SwTrack 2 pT: 30.6083, eta: -2.44849, phi: -0.231536, sector: 27, Q: -1

Event 97 BX 0
SwTrack 1 pT: 77.8401, eta: 0.888265, phi: -1.05077, sector: 23, Q: 1
SwTrack 2 pT: 81.3466, eta: -0.885511, phi: 2.09084, sector: 9, Q: -1

Event 98 BX 1
SwTrack 1 pT: 61.4247, eta: 0.453088, phi: -1.56166, sector: 21, Q: 1
SwTrack 2 pT: 63.1429, eta: -0.454856, phi: 1.57982, sector: 7, Q: -1

Event 99 BX 10
SwTrack 1 pT: 19.7581, eta: -2.29817, phi: -2.50275, sector: 17, Q: 1
SwTrack 2 pT: 20.9015, eta: 2.29154, phi: 0.639111, sector: 3, Q: -1

Event 100 BX 11
SwTrack 1 pT: 36.705, eta: -1.95222, phi: -2.38078, sector: 17, Q: 1
SwTrack 2 pT: 35.2713, eta: 1.95493, phi: 0.760973, sector: 4, Q: -1

Event 101 BX 100
SwTrack 1 pT: 107.493, eta: -1.26011, phi: 1.43232, sector: 7, Q: 1
SwTrack 2 pT: 69.9958, eta: 1.25908, phi: -1.70696, sector: 20, Q: -1

Event 102 BX 101
SwTrack 1 pT: 27.7829, eta: 2.3734, phi: -0.836839, sector: 24, Q: 1
SwTrack 2 pT: 30.1988, eta: -2.37772, phi: 2.3048, sector: 10, Q: -1

Event 103 BX 110
SwTrack 1 pT: 69.4571, eta: -1.04393, phi: -2.22492, sector: 18, Q: 1
SwTrack 2 pT: 73.4101, eta: 1.0427, phi: 0.917008, sector: 4, Q: -1

Event 104 BX 111
SwTrack 1 pT: 15.7582, eta: 1.88602, phi: -1.22431, sector: 22, Q: 1
SwTrack 2 pT: 15.9813, eta: -1.89352, phi: 1.91751, sector: 9, Q: -1

Event 105 BX 0
SwTrack 1 pT: 57.5124, eta: 1.78456, phi: 2.04458, sector: 9, Q: 1
SwTrack 2 pT: 56.789, eta: -1.78519, phi: -1.09677, sector: 23, Q: -1

Event 106 BX 1
SwTrack 1 pT: 17.3643, eta: 1.64796, phi: 1.52287, sector: 7, Q: 1
SwTrack 2 pT: 16.6903, eta: -1.66522, phi: -1.61785, sector: 21, Q: -1

Event 107 BX 10
SwTrack 1 pT: 67.8907, eta: -1.25188, phi: 1.63298, sector: 7, Q: 1
SwTrack 2 pT: 56.434, eta: 1.24981, phi: -1.5072, sector: 21, Q: -1

Event 108 BX 11
SwTrack 1 pT: 0, eta: 0, phi: 0, sector: 0, Q: 0
SwTrack 2 pT: 27.0343, eta: 2.43499, phi: -0.120436, sector: 27, Q: -1

Event 109 BX 100
SwTrack 1 pT: 81.3466, eta: -0.920862, phi: 2.54844, sector: 11, Q: 1
SwTrack 2 pT: 89.4005, eta: 0.912783, phi: -0.593068, sector: 25, Q: -1

Event 110 BX 101
SwTrack 1 pT: 35.6895, eta: -1.25291, phi: 2.40228, sector: 11, Q: 1
SwTrack 2 pT: 35.549, eta: 1.24774, phi: -0.739294, sector: 24, Q: -1

Event 111 BX 110
SwTrack 1 pT: 5.4427, eta: 2.21104, phi: 1.06864, sector: 5, Q: 1
SwTrack 2 pT: 5.58752, eta: -2.21315, phi: -2.06759, sector: 19, Q: -1

Event 112 BX 111
SwTrack 1 pT: 32.1332, eta: -1.05003, phi: 2.58118, sector: 12, Q: 1
SwTrack 2 pT: 32.7154, eta: 1.05125, phi: -0.560736, sector: 25, Q: -1

Event 113 BX 0
SwTrack 1 pT: 111.475, eta: 0.262597, phi: -2.37072, sector: 17, Q: 1
SwTrack 2 pT: 118.809, eta: -0.262597, phi: 0.770783, sector: 4, Q: -1

Event 114 BX 1
SwTrack 1 pT: 29.1273, eta: -1.27943, phi: 1.41527, sector: 7, Q: 1
SwTrack 2 pT: 29.7021, eta: 1.27943, phi: -1.72656, sector: 20, Q: -1

Event 115 BX 10
SwTrack 1 pT: 5.46246, eta: 2.2829, phi: -2.16246, sector: 18, Q: 1
SwTrack 2 pT: 5.94044, eta: -2.26098, phi: 0.98108, sector: 5, Q: -1

Event 116 BX 11
SwTrack 1 pT: 19.4182, eta: 2.09092, phi: -1.10958, sector: 23, Q: 1
SwTrack 2 pT: 21.8103, eta: -2.09187, phi: 2.03138, sector: 9, Q: -1

Event 117 BX 100
SwTrack 1 pT: 148.024, eta: -0.188338, phi: 0.642733, sector: 3, Q: 1
SwTrack 2 pT: 141.085, eta: 0.192174, phi: -2.49884, sector: 17, Q: -1

Event 118 BX 101
SwTrack 1 pT: 71.098, eta: -1.5015, phi: 2.10655, sector: 10, Q: 1
SwTrack 2 pT: 70.5424, eta: 1.5015, phi: -1.03494, sector: 23, Q: -1

Event 119 BX 110
SwTrack 1 pT: 19.8449, eta: 2.2646, phi: 0.419269, sector: 2, Q: 1
SwTrack 2 pT: 18.9297, eta: -2.26581, phi: -2.72092, sector: 16, Q: -1

Event 120 BX 111
SwTrack 1 pT: 27.3619, eta: -2.43431, phi: 0.953525, sector: 5, Q: 1
SwTrack 2 pT: 25.6518, eta: 2.42818, phi: -2.18728, sector: 18, Q: -1

Event 121 BX 0
SwTrack 1 pT: 79.2057, eta: 1.39909, phi: -2.68867, sector: 16, Q: 1
SwTrack 2 pT: 77.1746, eta: -1.4, phi: 0.453244, sector: 2, Q: -1

Event 122 BX 1
SwTrack 1 pT: 4.15148, eta: -1.11067, phi: 0.949974, sector: 4, Q: 1
SwTrack 2 pT: 4.29157, eta: 1.10601, phi: -2.19221, sector: 18, Q: -1

Event 123 BX 10
SwTrack 1 pT: 132.786, eta: -0.262597, phi: -0.995724, sector: 23, Q: 1
SwTrack 2 pT: 141.085, eta: 0.262597, phi: 2.1459, sector: 10, Q: -1

Event 124 BX 11
SwTrack 1 pT: 18.8901, eta: 2.34002, phi: 2.03315, sector: 9, Q: 1
